################################
#        Cloaking rules        #
################################

# For https://github.com/sevcator/zapret-pocket <3

# immalware hosts
=accounts.scdn.co 45.155.204.190
=accounts.spotify.com 45.155.204.190
=accounts.supercell.com 144.31.14.104
=aet.spotify.com 45.155.204.190
=aisandbox-pa.googleapis.com 185.250.151.50
=aistudio.google.com 185.250.151.50
=aitestkitchen.withgoogle.com 94.131.119.22
=alkalimakersuite-pa.clients6.google.com 185.250.151.50
=alkalimakersuite-pa.clients6.google.com 80.74.29.235
anthropic.com 80.74.29.235
=api-partner.spotify.com 45.155.204.190
=api.spotify.com 45.155.204.190
=assistant-s3-pa.googleapis.com 185.250.151.50
=assistant-s3-pa.googleapis.com 80.74.29.235
auth0.com 45.155.204.190
autodesk.com 45.155.204.190
broadcom.com 45.155.204.190
=builds.parsec.app 45.155.204.190
canva.com 45.155.204.190
=cdn.id.supercell.com 144.31.14.104
=cdn.oaistatic.com 45.155.204.190
chatgpt.com 80.74.29.235
=clashofclans.inbox.supercell.com 144.31.14.104
claude.ai 80.74.29.235
codeium.com 45.155.204.190
=copilot.microsoft.com 80.74.29.235
deepl.com 45.155.204.190
dell.com 45.155.204.190
dyson.com 45.155.204.190
dyson.fr 144.31.14.104
=edgeservices.bing.com 80.74.29.235
elevenlabs.io 45.155.204.190
elevenreader.io 45.155.204.190
elgato.com 45.155.204.190
=encore.scdn.co 45.155.204.190
=files.oaiusercontent.com 45.155.204.190
framer.com 45.155.204.190
=game-assets.brawlstarsgame.com 144.31.14.104
=game-assets.clashofclans.com 144.31.14.104
=game-assets.clashroyaleapp.com 144.31.14.104
=game.brawlstarsgame.com 185.246.223.127
=game.clashroyaleapp.com 45.95.233.23
=gamea.clashofclans.com 193.23.209.189
=gemini.google.com 80.74.29.235
=generativelanguage.googleapis.com 185.250.151.49
=generativelanguage.googleapis.com 80.74.29.235
=gew1-dealer.spotify.com 45.155.204.190
=gew1-spclient.spotify.com 45.155.204.190
grok.com 94.131.119.22
guidedhacking.com 45.155.204.190
intel.com 45.155.204.190
jetbrains.ai 45.155.204.190
jetbrains.com 45.155.204.190
=jules.google.com 80.74.29.235
=jules.google.com 94.131.119.22
=labs.google 185.250.151.50
linear.app 45.155.204.190
=login5.spotify.com 45.155.204.190
manus.im 45.155.204.190
mchost.guru 45.155.204.190
mocogame.com 45.95.233.23
=notebooklm.google.com 94.131.119.22
notion.so 45.155.204.190
ntc.party 130.255.77.28
nvidia.com 45.155.204.190
=o.pki.goog 45.155.204.190
onetrust.com 45.155.204.190
=open-exp.spotifycdn.com 45.155.204.190
=open.spotify.com 45.155.204.190
openai.com 80.74.29.235
patreon.com 45.155.204.190
=proactivebackend-pa.googleapis.com 142.251.40.202
pump.fun 45.155.204.190
qwant.com 45.155.204.190
=rewards.bing.com 185.250.151.49
=robinfrontend-pa.googleapis.com 108.177.14.95
=robinfrontend-pa.googleapis.com 142.250.150.95
=robinfrontend-pa.googleapis.com 142.250.74.10
=robinfrontend-pa.googleapis.com 142.251.1.95
=robinfrontend-pa.googleapis.com 142.251.142.234
=robinfrontend-pa.googleapis.com 142.251.143.138
=robinfrontend-pa.googleapis.com 142.251.38.106
=robinfrontend-pa.googleapis.com 172.217.19.234
=robinfrontend-pa.googleapis.com 172.217.20.170
=robinfrontend-pa.googleapis.com 173.194.73.95
=robinfrontend-pa.googleapis.com 209.85.233.95
=robinfrontend-pa.googleapis.com 216.58.207.202
=robinfrontend-pa.googleapis.com 216.58.207.234
=robinfrontend-pa.googleapis.com 216.58.211.10
=robinfrontend-pa.googleapis.com 64.233.161.95
=robinfrontend-pa.googleapis.com 64.233.162.95
=robinfrontend-pa.googleapis.com 64.233.164.95
=robinfrontend-pa.googleapis.com 74.125.131.95
=robinfrontend-pa.googleapis.com 74.125.205.95
rutor.info 172.64.33.155
=security.id.supercell.com 144.31.14.104
sora.com 45.155.204.190
=spclient.wg.spotify.com 45.155.204.190
squadbustersgame.com 108.61.167.26
squareup.com 45.155.204.190
=stitch.withgoogle.com 94.131.119.22
=store.supercell.com 144.31.14.104
=sydney.bing.com 80.74.29.235
tailscale.com 45.155.204.190
tidal.com 144.31.14.104
trae.ai 45.155.204.190
tria.ge 45.155.204.190
truthsocial.com 45.155.204.190
=usher.ttvnw.net 45.155.204.190
=web.archive.org 45.155.204.190
=webchannel-alkalimakersuite-pa.clients6.google.com 185.250.151.50
=webchannel-alkalimakersuite-pa.clients6.google.com 80.74.29.235
windsurf-telemetry.codeium.com 144.31.14.104
windsurf.com 45.155.204.190
=www-growth.scdn.co 45.155.204.190
www.canva.com 144.31.14.104
www.dyson.com 144.31.14.104
=www.spotify.com 45.155.204.190
x.ai 45.155.204.190

# Flowseal hosts
=finland10000.discord.media 104.25.158.178
=finland10001.discord.media 104.25.158.178
=finland10002.discord.media 104.25.158.178
=finland10003.discord.media 104.25.158.178
=finland10004.discord.media 104.25.158.178
=finland10005.discord.media 104.25.158.178
=finland10006.discord.media 104.25.158.178
=finland10007.discord.media 104.25.158.178
=finland10008.discord.media 104.25.158.178
